Timestamp       CPU_Usage(%) RAM(%) Disk_Usage(%)
2026-05-14 04:06:41, 9.5     , 76      , 17      
2026-05-14 04:06:44, 10.6    , 76      , 17      
2026-05-14 04:06:48, 13.9    , 76      , 17      
2026-05-14 04:11:56, 6.2     , 75      , 17      
2026-05-14 04:12:00, 9.4     , 76      , 17      
2026-05-14 04:12:03, 10.7    , 76      , 17      
2026-05-14 04:12:06, 9.0     , 76      , 17      
2026-05-14 04:12:10, 12.9    , 76      , 17      
2026-05-14 04:12:13, 31.7    , 76      , 17      
2026-05-14 04:12:16, 10.9    , 76      , 17      
2026-05-14 04:12:19, 7.8     , 76      , 17      
2026-05-14 04:12:23, 11.0    , 76      , 17      
2026-05-14 04:12:26, 12.0    , 76      , 17      
2026-05-14 04:12:29, 8.0     , 76      , 17      
2026-05-14 04:12:33, 10.2    , 76      , 17      
2026-05-14 04:12:36, 9.4     , 76      , 17      
2026-05-14 04:12:39, 10.2    , 76      , 17      
2026-05-14 04:12:43, 8.0     , 76      , 17      
2026-05-14 04:12:46, 10.5    , 76      , 17      
2026-05-14 04:12:49, 12.9    , 76      , 17      
2026-05-14 04:12:52, 9.1     , 76      , 17      
2026-05-14 04:12:56, 9.1     , 76      , 17      
2026-05-14 04:12:59, 8.8     , 76      , 17      
2026-05-14 04:13:02, 6.4     , 76      , 17      
2026-05-14 04:13:06, 7.0     , 76      , 17      
2026-05-14 04:13:09, 15.4    , 76      , 17      
2026-05-14 04:13:12, 11.1    , 76      , 17      
2026-05-14 04:13:15, 7.4     , 76      , 17      
2026-05-14 04:13:19, 2.0     , 78      , 17      
2026-05-14 04:13:22, 4.0     , 78      , 17      
2026-05-14 04:13:25, 2.0     , 78      , 17      
2026-05-14 04:13:29, 4.0     , 78      , 17      
2026-05-14 04:13:32, 1.7     , 78      , 17      
2026-05-14 04:13:35, 2.8     , 78      , 17      
2026-05-14 04:13:39, 0.6     , 78      , 17      
2026-05-14 04:13:42, 2.0     , 78      , 17      
2026-05-14 04:13:45, 4.1     , 78      , 17      
2026-05-14 04:13:49, 0.6     , 78      , 17      
2026-05-14 04:13:52, 1.1     , 78      , 17      
2026-05-14 04:13:55, 1.7     , 78      , 17      
2026-05-14 04:13:58, 2.0     , 78      , 17      
2026-05-14 04:14:02, 4.6     , 78      , 17      
2026-05-14 04:14:05, 1.5     , 78      , 17      
2026-05-14 04:14:08, 1.7     , 78      , 17      
2026-05-14 04:14:12, 5.8     , 78      , 17      
2026-05-14 04:14:15, 2.8     , 78      , 17      
2026-05-14 09:46:52, 0.5     , 95      , 17      
2026-05-14 09:46:55, 1.6     , 95      , 17      
2026-05-14 09:46:58, 2.9     , 95      , 17      
2026-05-14 09:47:02, 1.1     , 95      , 17      
2026-05-14 09:47:05, 0.5     , 95      , 17      
2026-05-14 09:47:08, 100.0   , 95      , 17      
2026-05-14 09:47:11, 0.6     , 95      , 17      
